C0	N	busy
25	1	13.430000000000007
42	2	21.290000000000006
57	3	29.519999999999996
68	4	34.34
82	5	45.18
91	6	46.28
101	7	51.2
99	8	54.53
111	9	56.83
114	10	62.05
124	11	62.6
126	12	68.15
134	13	66.87
130	14	70.02
140	15	70.68
150	16	76.16
143	17	76.45
147	18	74.85
141	19	81.89
145	20	78.36
152	21	80.72
164	22	85
171	23	87.53
160	24	91.18
160	25	90.14
156	26	87.95
175	27	92.38
182	28	90.98
186	29	90.74
198	30	94.16
197	31	94.79
176	32	95.89
217	33	93.98
190	34	95.77
193	35	96.99
197	36	97.99
203	37	98
199	38	97.99
177	39	98.8
173	40	98.4
172	41	98.2
175	42	99.2
183	43	98.8
190	44	98.8
191	45	99
190	46	99
191	47	98.8
196	48	98.8
176	49	98.6
163	50	99.8
199	51	100
203	52	100
192	53	99.6
192	54	100
171	55	99
185	56	100
177	57	99.4
181	58	100
183	59	100
181	60	100
183	61	100
156	62	100
146	63	100
145	64	100
141	65	100
160	66	100
186	67	100
176	68	100
172	69	100
163	70	100
156	71	100
150	72	100
164	73	100
159	74	100
160	75	100
156	76	100
160	77	100
159	78	100
158	79	100
160	80	100
162	81	100
176	82	100
170	83	100
170	84	100
171	85	100
173	86	100
173	87	100
176	88	100
178	89	100
180	90	100
182	91	100
184	92	100
186	93	100
188	94	100
188	95	100
192	96	100
193	97	100
195	98	100
194	99	100
197	100	100
